id;fecha;ofrenda;visita_cordinador;visita_tutor;visita_director;otra_visita;note;doneby;completado
1;2026-03-27;12417.34;false;true;true;true;forenenst;deselect explode typify;true
2;2026-03-27;12802.66;true;true;false;true;volleyball;doting boo;true
3;2026-03-27;8171.85;true;false;true;true;pliers;yet ugh instead;true
4;2026-03-27;11267.31;true;false;false;false;off;gracefully malfunction;true
5;2026-03-28;12564.55;true;false;false;false;another litter geez;finally lively;true
6;2026-03-27;1426.17;false;false;true;true;softly feather;blue;true
7;2026-03-27;25463.66;false;true;false;true;instead whoa;how jazz whether;true
8;2026-03-27;14634.47;false;true;false;false;presell;spring;true
9;2026-03-27;26820.87;false;true;false;true;amid though;usefully minus bashfully;true
10;2026-03-27;32605.27;true;true;false;true;or;bludgeon;false
11;2026-03-27;9443.08;false;false;true;true;um furthermore;busy;true
12;2026-03-27;18183.07;true;false;false;false;hence without;off meh cheese;false
13;2026-03-27;2484.04;true;false;true;true;contrail unto;bore anti;false
14;2026-03-27;20507.31;false;false;true;false;or;reel;true
15;2026-03-28;10634.88;true;false;false;true;mobilize hence;pfft pigpen;true
16;2026-03-27;21496.91;false;false;false;false;miscalculate;inasmuch busily;false
17;2026-03-27;29308.26;false;true;false;false;gestate while ocelot;wholly meh;true
18;2026-03-27;4994.45;true;true;false;false;tensely boldly;the gadzooks absent;true
19;2026-03-27;15388.19;true;false;false;false;brightly unused farmer;fooey reconstitute definitive;true
20;2026-03-27;8139.77;false;false;true;true;quietly fragrant;so yahoo;true
21;2026-03-27;23025.38;true;false;false;true;duh CD;ack;true
22;2026-03-27;26096.12;true;false;false;true;so;following aha;true
23;2026-03-27;13651.99;true;true;true;false;eek gut quarrelsomely;glisten;false
24;2026-03-27;9661.72;true;true;true;true;solder whenever till;zowie popularize;false
25;2026-03-27;7156.29;true;true;false;false;offensively final;corny ingratiate indolent;false
26;2026-03-27;13601.11;false;false;true;false;miserly filthy;daddy cutover drat;true
27;2026-03-27;2827.09;true;true;true;false;whether huzzah;softly brr inasmuch;false
28;2026-03-27;30413.47;true;false;false;false;furthermore oh inject;stump under popularity;true
29;2026-03-27;18244.22;false;true;false;false;quietly deliberately woot;rebound;true
30;2026-03-27;29521.86;true;false;false;false;ill-fated not;ultimately including toe;true
